200,200,230
30,20,20
250,200,210
10,10,40
250,250,280
10,10,10
250,210,250
20,40,30
230,200,260
40,40,30
250,290,220
20,40,40
260,290,250
30,40,30
210,270,230
40,40,40
270,200,220
10,20,30
280,270,210
10,20,20
220,240,260
40,40,30
240,260,260
40,20,10
220,280,280
10,40,30
250,260,230
10,10,30
220,240,220
30,20,40
250,260,220
10,30,30
280,260,270
30,40,30
200,200,270
30,10,40
210,230,200
30,20,40
210,290,220
30,20,40
250,210,290
20,10,30
250,270,250
10,10,20
220,210,200
20,20,40
270,220,270
30,30,30
280,260,240
10,40,30
210,230,210
20,10,20
200,260,290
30,30,30
210,260,240
40,10,20
250,290,290
20,30,30
240,230,220
40,40,30
220,280,280
40,30,10
240,210,220
30,20,10
280,280,220
20,30,20
210,210,260
10,40,30
270,200,240
10,10,20
200,280,270
10,30,10
220,220,220
30,30,30
250,210,260
40,30,30
270,200,200
30,40,20
240,290,230
40,20,40
250,270,260
30,40,10
200,230,200
20,10,30
240,250,230
10,10,30
250,270,290
20,20,10
270,260,250
30,10,40
270,290,220
30,10,40
